target_id,tce_plnt_num,tce_rogue_flag,tce_datalink_dvs,tce_datalink_dvr,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,transit_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_num_transits,tce_model_snr,tce_robstat,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_nkoi,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,wst_robstat,wst_depth,tce_maxmes,tce_maxmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,boot_fap,tce_cap_stat,tce_hap_stat,tce_rb_tcount0,tce_fwm_stat,tce_fwm_srao,tce_fwm_srao_err,tce_fwm_sdeco,tce_fwm_sdeco_err,tce_fwm_prao,tce_fwm_prao_err,tce_fwm_pdeco,tce_fwm_pdeco_err,tce_dicco_msky,tce_dicco_msky_err,tce_dikco_msky,tce_dikco_msky_err,mag,tce_steff_err1,tce_steff_err2,tce_slogg_err1,tce_slogg_err2,tce_smet_err1,tce_smet_err2,tce_sradius_err1,tce_sradius_err2,tce_smass,tce_smass_err1,tce_smass_err2,tce_sdens,tce_sdens_err1,tce_dens_serr2,ra,dec,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_comment,koi_period,koi_time0bk,koi_eccen,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_datalink_dvr,koi_datalink_dvs,fpwg_disp_status,fpwg_disp_source,fpwg_disp_eb,fpwg_disp_offst,fpwg_disp_perep,fpwg_disp_other,label,wst_depth_original,tce_maxmes_original,tce_albedo_original,tce_ptemp_original,tce_albedo_stat_original,tce_ptemp_stat_original,tceid
11456382,1,0,011/011456/011456382/dv/kplr011456382-001-20160209194854_dvs.pdf,011/011456/011456382/dv/kplr011456382-20160209194854_dvr.pdf,0.814288,3.02772e-06,131.644,0.000549873,0.0073218373,0.0009169261,1.8756398,0.9248149,61.05,20.36,0.9078,0.1357,1.675,0.08695,0.06849,0.1038,45.6,1.975,0,0,0,0,1643,32.13,27.31,1.233,0.4201,0.01851,0.004752,2560.0,251.0,10222.74,3998.87,1,6165,243,4.167,0.19,0.04,0.3,1.101,0.489,2.509,5.114,2.677,0.6031,4.701,28.79,0.01515,0.6344,0.3364,3537.92,369.75,-1.087,2.18,2.1245e-165,-56.52,617.9,1570,0.0,-165.8,0.27,184.7,0.286,0.007557,1.23e-05,0.0,-1.0,0.0,-1.0,0.0,-1.0,11.751,177.0,-243.0,0.19,-0.19,0.25,-0.3,0.489,-0.4,1.273,0.182,-0.222,0.4885,0.5617,-0.2432,292.49802,49.329006,K02771.01,,FALSE POSITIVE,0.0,0.0,0.0,1.0,1.0,CENT_RESOLVED_OFFSET---HALO_GHOST---EPHEM_MATCH,0.814280672,131.64736,0.0,0.701,2.326,,134.9,0.011362,1.91,0.0185,70.66,2563.0,10224.99,2.116,4.701431,28.792877,12.3,1.0,1643.0,1.0,q1_q17_dr25_tce,011/011456/011456382/dv/kplr011456382-20160209194854_dvr.pdf,011/011456/011456382/dv/kplr011456382-001-20160209194854_dvs.pdf,CERTIFIED FP,0.0,0.0,1.0,1.0,0.0,AFP,5.114,2.677,0.6344,3537.92,-1.087,2.18,11456382-1
4142789,1,0,004/004142/004142789/dv/kplr004142789-001-20160209194854_dvs.pdf,004/004142/004142789/dv/kplr004142789-20160209194854_dvr.pdf,0.505258,7.42073e-06,131.757,0.00104471,0.016795723,0.0047954763,5.2926615,7.8345203,82.36,23.51,0.7034,1.112,0.5421,0.06781,0.01755,0.05904,272.8,30.45,0,0,0,0,2651,16.43,14.16,0.9989,0.2898,0.01026,0.0004989,1650.0,63.2,1750.94,268.54,0,5119,170,4.716,0.04,-1.98,0.15,2.788,0.028,13.0,121.7,12.93,0.2,3.757,11.25,0.003155,7.059,4.109,4156.85,615.22,1.475,4.054,1.9851e-60,6.878,0.5737,2320,6.6869,-0.003352,0.095,0.1271,0.106,-3.606e-05,3.48e-05,-2.393e-05,4.17e-05,0.055636,0.107,0.13814,0.101,12.402,170.0,-170.0,0.045,-0.021,0.15,-0.05,0.022,-0.028,0.564,0.038,-0.017,4.9,0.795,-0.3813,287.27527,39.247292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,121.7,12.93,7.059,4156.85,1.475,4.054,4142789-1
7362592,1,0,007/007362/007362592/dv/kplr007362592-001-20160209194854_dvs.pdf,007/007362/007362592/dv/kplr007362592-20160209194854_dvr.pdf,0.566746,1.22483e-05,131.901,0.00519494,0.0033206618,0.0027243006,1.1884161,1.3951241,63.62,333.1,0.5281,5.569,4.024,0.2568,0.02637,0.2351,12.32,1.932,0,0,0,0,2377,8.265,12.27,0.5979,0.5386,0.01379,0.004989,2930.0,437.0,17455.46,10421.77,0,6072,202,4.04,0.34,-0.14,0.3,2.384,0.614,0.0,0.0,0.0,0.1833,4.616,11.22,0.09893,0.0,-1.0,0.0,-1.0,0.0,0.0,5.2998e-21,0.5918,8.274,2271,39.708,-2.101,1.49,-3.985,1.2,3.485e-05,1.83e-05,4.867e-05,1.48e-05,0.12533,0.869,0.11901,0.651,13.667,184.0,-202.0,0.343,-0.147,0.3,-0.3,0.409,-0.614,1.088,0.174,-0.156,0.3412,0.9034,-0.1477,291.72818,42.94838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,0.0,0.0,0.0,0.0,0.0,0.0,7362592-1
4164393,1,0,004/004164/004164393/dv/kplr004164393-001-20160209194854_dvs.pdf,004/004164/004164393/dv/kplr004164393-20160209194854_dvr.pdf,49.6128,3.74003e-06,165.998,6.30889e-05,0.48690632,0.05257626,63.448206,0.46472254,89.19,0.06222,0.8998,0.07547,7.072,0.003239,3.536,0.001619,130600.0,137.5,0,0,0,0,21,2156.0,2739.0,54.78,19.46,0.2722,0.07723,536.0,58.2,19.5,8.47,1,6248,219,4.45,0.22,-0.14,0.3,2.491,0.349,2.48,101.2,3.064,34.72,797.7,2893.0,2.981,1.374,0.8089,896.97,99.53,0.4627,3.132,0.0,827.9,193.4,21,90.436,-0.113,0.00509,-0.04028,0.00436,-0.003195,0.0663,0.004068,0.0855,0.013149,0.0671,0.026911,0.0752,15.217,175.0,-219.0,0.056,-0.224,0.25,-0.3,0.349,-0.116,1.088,0.154,-0.154,1.4,0.4151,-0.7505,293.21729,39.207809,K03413.01,,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,DEEP_V_SHAPED,49.612757516,165.9984372,0.0,0.929,7.07603,,130460.0,0.506988,57.08,0.2723,89.16,536.0,19.46,63.582,797.7214,2892.7864,2070.3,1.0,21.0,1.0,q1_q17_dr25_tce,004/004164/004164393/dv/kplr004164393-20160209194854_dvr.pdf,004/004164/004164393/dv/kplr004164393-001-20160209194854_dvs.pdf,CERTIFIED FP,1.0,1.0,0.0,0.0,0.0,AFP,101.2,3.064,1.374,896.97,0.4627,3.132,4164393-1
9458613,5,0,009/009458/009458613/dv/kplr009458613-005-20160209194854_dvs.pdf,009/009458/009458613/dv/kplr009458613-20160209194854_dvr.pdf,5.66815821,3.96228e-05,131.887,0.00516099,0.0091464096,0.0037810146,5.5221759,10.505239,81.62,25.21,0.8046,0.8733,4.838,0.4411,0.1228,0.5372,80.71,5.479,0,0,0,0,204,15.15,14.46,1.691,0.814,0.06426,0.01429,1340.0,117.0,754.49,264.56,5,5947,117,4.022,0.2,0.0,0.15,1.655,0.418,1.856,10.14,1.832,1.219,3.465,13.91,0.0005457,8.062,8.308,3481.69,849.09,0.85,2.503,8.3345e-44,10.74,4.305,192,4.3834,-1.01,0.761,0.2672,0.719,9.245e-05,6.14e-05,-2.547e-05,5.81e-05,0.31923,0.317,0.28341,0.316,13.988,117.0,-117.0,0.195,-0.09,0.15,-0.15,0.257,-0.418,1.1,0.124,-0.112,0.3187,0.3514,-0.08598,289.07755,46.005219,K00707.05,Kepler-33 b,CONFIRMED,0.997,0.0,0.0,0.0,0.0,NO_COMMENT,5.66815821,131.88743,0.0,0.177,4.9064,,119.7,0.009996,1.85,0.0643,88.85,1336.0,752.7,8.797,3.4654,13.906199,27.3,5.0,204.0,5.0,q1_q17_dr25_tce,009/009458/009458613/dv/kplr009458613-20160209194854_dvr.pdf,009/009458/009458613/dv/kplr009458613-005-20160209194854_dvs.pdf,NOT EXAMINED,,,,,,PC,10.14,1.832,8.062,3481.69,0.85,2.503,9458613-5
6185496,2,0,006/006185/006185496/dv/kplr006185496-002-20160209194854_dvs.pdf,006/006185/006185496/dv/kplr006185496-20160209194854_dvr.pdf,0.949253,4.99909e-06,131.544,0.000961253,0.018719768,0.010515473,2.9669769,5.685012,72.32,44.49,0.9012,0.4684,1.224,0.4245,0.1126,0.5645,274.2,20.37,0,0,0,0,1087,19.93,18.23,1.606,0.9155,0.01724,0.001475,1460.0,63.7,1076.97,187.99,1,4903,145,4.527,0.07,0.06,0.3,0.728,0.077,0.6722,264.7,16.56,-0.4743,4.45,16.52,0.0002418,16.8184264105,19.4241614243,4570.88344886,18497.610952,0.814368562174,0.168176582972,1.1434e-60,10.52,9.755,1051,199.81,-3.115,0.733,5.281,0.767,0.0008573,0.000202,-0.001423,0.000211,3.5393,0.169,3.5754,0.159,15.692,145.0,-145.0,0.072,-0.048,0.25,-0.3,0.056,-0.077,0.758,0.076,-0.055,2.199,0.6629,-0.3546,284.36203,41.577549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,10.06,1.136,0.6381,2018.58,-0.3107,0.6045,6185496-2
11551430,6,0,011/011551/011551430/dv/kplr011551430-006-20160209194854_dvs.pdf,011/011551/011551430/dv/kplr011551430-20160209194854_dvr.pdf,322.048,0.00147363,158.869,0.00448024,0.038140692,0.020400628,603.9412,1307.206,89.96,0.4807,0.4299,4.136,3.849,0.765,0.1721,0.8404,1693.0,245.1,0,0,0,0,3,9.304,8.723,6.68,3.879,0.914,0.2054,330.0,30.9,2.81,1.05,0,5648,113,4.019,0.22,-0.08,0.15,1.605,0.363,0.4755,92.38,10.98,70.01,13.42,18.11,1.78,951.6,2041.0,2835.31,1499.05,0.4658,1.671,-1.0,0.9166,2.656,2,0.0,0.3215,0.133,-0.1418,0.226,0.0001592,0.000999,0.0,-1.0,3.9516,1.76,5.2565,1.66,10.691,113.0,-90.0,0.217,-0.109,0.15,-0.1,0.297,-0.363,0.983,0.102,-0.084,0.3346,0.3601,-0.1086,287.41849,49.501389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,92.38,10.98,951.6,2835.31,0.4658,1.671,11551430-6
5792202,1,0,005/005792/005792202/dv/kplr005792202-001-20160209194854_dvs.pdf,005/005792/005792202/dv/kplr005792202-20160209194854_dvr.pdf,31.33046135,3.30435e-05,153.43,0.000862977,0.069125937,0.0017900807,40.152803,3.5006626,89.03,0.1861,0.6763,0.07153,4.937,0.09873,0.5617,0.1147,5078.0,48.48,0,0,0,0,46,106.5,96.68,6.163,0.6242,0.1897,0.01751,481.0,20.0,12.63,2.1,5,5264,105,4.581,0.09,0.21,0.15,0.761,0.08,2.627,134.8,4.014,18.78,23.14,110.0,0.4873,70.3,27.19,2152.08,197.42,2.549,8.423,0.0,35.71,14.44,44,107.79,-0.04504,0.109,-0.05665,0.105,0.001676,0.000875,0.002584,0.00104,0.45165,0.115,0.08207,0.0778,15.855,105.0,-105.0,0.01,-0.085,0.15,-0.15,0.08,-0.029,0.926,0.032,-0.064,2.394,0.172,-0.6118,292.23676,41.08588,K00841.02,Kepler-27 c,CONFIRMED,1.0,0.0,0.0,0.0,0.0,CENT_KIC_POS,31.33046135,153.43031,0.0,0.798,5.176,,5073.8,0.072904,6.5,0.1898,88.62,481.0,12.61,33.19,23.140947,110.02644,117.2,5.0,46.0,1.0,q1_q17_dr25_tce,005/005792/005792202/dv/kplr005792202-20160209194854_dvr.pdf,005/005792/005792202/dv/kplr005792202-001-20160209194854_dvs.pdf,NOT EXAMINED,,,,,,PC,134.8,4.014,70.3,2152.08,2.549,8.423,5792202-1
10514430,8,0,010/010514/010514430/dv/kplr010514430-008-20160209194854_dvs.pdf,010/010514/010514430/dv/kplr010514430-20160209194854_dvr.pdf,248.639,0.00133331,246.881,0.00480526,0.020060767,0.0062862597,270.62023,377.73206,89.83,0.3645,0.8156,0.5832,4.3,0.6389,0.2436,0.7642,382.7,29.82,0,0,0,0,5,12.68,11.36,3.382,1.076,0.7727,0.03444,357.0,7.75,3.86,0.33,1,5729,86,4.058,0.03,-0.06,0.15,1.545,0.085,7.309,214.1,6.608,82.87,9.221,11.2,0.03416,6148.0,4013.0,4892.77,798.06,1.532,5.683,8.1308e-15,0.0,0.0,5,7.808,-0.4958,0.442,0.5516,0.337,6.475e-05,0.000171,-0.0002042,0.000135,4.253,1.69,3.4484,1.39,10.821,86.0,-68.0,0.033,-0.027,0.15,-0.15,0.085,-0.085,0.994,0.078,-0.064,0.38,0.05135,-0.03743,281.2738,47.774399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,214.1,6.608,6148.0,4892.77,1.532,5.683,10514430-8
6676174,1,0,006/006676/006676174/dv/kplr006676174-001-20160209194854_dvs.pdf,006/006676/006676174/dv/kplr006676174-20160209194854_dvr.pdf,2.92042,4.87945e-05,134.357,0.00822184,0.0037635382,0.0010370474,1.2663446,0.7603739,56.3,85.68,0.7026,1.154,16.7,0.5787,0.1519,0.5259,14.68,2.177,0,0,0,0,468,6.517,9.712,1.455,0.7326,0.04698,0.01851,2660.0,420.0,11820.94,7465.2,0,6925,209,3.549,0.36,-0.58,0.35,3.372,1.493,7.51,14.49,9.07,1.469,3.801,8.148,2.728,8.311,7.057,6979.85,1034.13,1.036,3.872,-1.0,0.0,0.0,447,0.0,-2.169,1.04,-1.862,0.906,0.0,-1.0,1.474e-05,1.33e-05,2.5676,1.62,1.9913,1.71,9.524,156.0,-209.0,0.36,-0.09,0.35,-0.3,0.467,-1.493,1.623,0.232,-0.377,0.05139,0.1501,-0.0151,286.70392,42.17963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTP,14.49,9.07,8.311,6979.85,1.036,3.872,6676174-1
